Extended Id,Time,Value,ValueString,Status,Sent in March 2013
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 19:53,1,NORMAL,OK - SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 7:53:07 PM"",""1"",""NORMAL"",""OK - SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 19:58,0,ALARM,OK - NOT SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 7:58:06 PM"",""0"",""ALARM"",""OK - NOT SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 20:33,0,ALARM,OK - NOT SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 8:33:07 PM"",""0"",""ALARM"",""OK - NOT SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 20:38,1,NORMAL,OK - SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 8:38:06 PM"",""1"",""NORMAL"",""OK - SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/2/14 6:38,1,NORMAL,OK - SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/2/2014 6:38:07 AM"",""1"",""NORMAL"",""OK - SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/2/14 6:43,0,ALARM,OK - NOT SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/2/2014 6:43:06 AM"",""0"",""ALARM"",""OK - NOT SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/2/14 6:48,0,ALARM,OK - NOT SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/2/2014 6:48:07 AM"",""0"",""ALARM"",""OK - NOT SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/2/14 6:53,1,NORMAL,OK - SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/2/2014 6:53:07 AM"",""1"",""NORMAL"",""OK - SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/2/14 7:53,1,NORMAL,OK - SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/2/2014 7:53:06 AM"",""1"",""NORMAL"",""OK - SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/2/14 7:58,0,ALARM,OK - NOT SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/2/2014 7:58:06 AM"",""0"",""ALARM"",""OK - NOT SET"""
